code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,riseDays
300826,N测绘,建筑工程,江苏,30.52,0.2,0.8,11.63,9.09,1.33,2.74,3.42,1.08,11.83,2.79,20200403,1.85,2.31,7.91,7.33,41.16,16.85,40171.0,2
002770,科迪乳业,乳制品,河南,86.99,6.03,10.95,36.09,20.97,13.32,0.06,0.01,0.03,1.63,2.13,20150630,6.13,0.56,-22.89,-69.7,21.05,4.38,47133.0,10
002503,搜于特,服饰,广东,29.81,21.23,30.93,111.66,87.02,8.87,8.23,0.27,0.098,1.8,2.17,20101117,16.36,0.53,-34.88,-45.98,8.6,3.08,65664.0,3
002486,嘉麟杰,服饰,上海,0.0,8.32,8.32,11.22,5.83,2.91,0.02,0.0,-0.023,1.11,4.03,20101015,0.8,0.1,16.43,-284.5,20.32,-2.63,84000.0,4
002178,延华智能,建筑工程,上海,0.0,7.11,7.12,18.87,14.87,1.07,2.59,0.36,-0.022000000000000002,1.16,4.04,20071101,-1.76,-0.25,-23.27,-188.05,17.77,-2.5,60254.0,3
000903,云内动力,机械基件,云南,49.11,17.67,19.71,119.4,66.59,25.81,23.43,1.19,0.07200000000000001,2.81,1.67,19990415,9.79,0.5,3.42,-25.85,12.18,3.09,69444.0,3
600467,好当家,渔业,山东,55.95,14.61,14.61,60.8,19.92,33.53,3.95,0.27,0.037000000000000005,2.11,1.3,20040405,9.99,0.68,1.7,3.64,23.24,5.81,70000.0,2
603067,振华股份,化工原料,湖北,15.55,4.31,4.31,14.61,8.04,5.6,2.01,0.47,0.27399999999999997,3.08,1.85,20160913,6.18,1.43,1.59,0.25,29.19,11.16,24994.0,3
000639,西王食品,食品,山东,14.92,10.76,10.79,99.18,35.3,6.7,17.34,1.61,0.308,4.38,1.4,19961126,16.61,1.54,-1.04,0.88,33.91,7.91,26778.0,2
002418,康盛股份,机械基件,浙江,0.0,10.03,11.36,45.11,27.38,9.6,4.92,0.43,-0.138,0.6,4.02,20100601,-6.94,-0.61,-36.7,-1540.82,10.24,-10.34,44354.0,4
